name_of_city,state_code,state_name,population_total,population_male,population_female,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,location,total_graduates,male_graduates,female_graduates
Madurai ,33,TAMIL NADU,1016885,509313,507572,845990,440419,405571,997,956,"9.9252007,78.1197754",129719,73889,55830
Mahbubnagar ,28,ANDHRA PRADESH,157902,79423,78479,119626,64187,55439,988,917,"16.7375089,78.0081221",30286,18972,11314
Mahesana ,24,GUJARAT,184133,97212,86921,151773,83642,68131,894,762,"23.5879607,72.3693252",27191,16287,10904
Maheshtala ,19,WEST BENGAL,449423,231044,218379,335440,179762,155678,945,957,"22.511976,88.2509941",33247,19939,13308
Mainpuri ,9,UTTAR PRADESH,117327,61481,55846,88548,48215,40333,908,849,"27.2177405,79.1096901",18745,10865,7880
Malegaon ,27,MAHARASHTRA,471006,239243,231763,343611,181084,162527,969,941,"20.5547497,74.5100291",22830,13345,9485
Malerkotla ,3,PUNJAB,135330,71401,63929,83606,47164,36442,895,950,"30.5232076,75.8882508",9767,5227,4540
Mandoli ,7,NCT OF DELHI,120345,64123,56222,84053,48535,35518,877,897,"28.7041396,77.313921",7274,4596,2678
Mandsaur ,23,MADHYA PRADESH,141468,72370,69098,109135,59436,49699,955,898,"24.076836,75.0692952",18225,10920,7305
Mandya ,29,KARNATAKA,137735,68748,68987,105938,55442,50496,1003,944,"12.5221567,76.9009191",16203,9858,6345
Mangalore ,29,KARNATAKA,484785,240651,244134,416863,211482,205381,1014,930,"12.9141417,74.8559568",78097,39002,39095
Mango ,20,JHARKHAND,224002,116243,107759,169548,92914,76634,927,913,"22.834024,86.219577",28682,17145,11537
Mathura ,9,UTTAR PRADESH,349336,186586,162750,235976,134597,101379,872,859,"27.4924134,77.673673",44357,26068,18289
Maunath Bhanjan ,9,UTTAR PRADESH,279060,143273,135787,187382,102802,84580,948,952,"25.9496379,83.5586445",20775,12297,8478
Medinipur ,19,WEST BENGAL,169127,85362,83765,139303,72948,66355,981,979,"22.4308892,87.3214908",28498,17243,11255
Meerut ,9,UTTAR PRADESH,1309023,689567,619456,889729,499928,389801,898,851,"28.9844618,77.7064137",174025,95192,78833
Mira Bhayander ,27,MAHARASHTRA,814655,434330,380325,684165,375671,308494,876,885,"19.2952325,72.8543897",118506,65979,52527
Miryalaguda ,28,ANDHRA PRADESH,103855,52048,51807,76693,41697,34996,995,948,"16.8753106,79.5659633",13377,8688,4689
Mirzapur-cum-Vindhyachal ,9,UTTAR PRADESH,233691,125003,108688,161128,92423,68705,869,879,"25.1336987,82.5644344",25846,16225,9621
Modinagar ,9,UTTAR PRADESH,130161,69179,60982,104383,58282,46101,882,778,"28.8316307,77.5779592",24695,13484,11211
Moga ,3,PUNJAB,150432,79760,70672,110764,60698,50066,886,857,"30.8164603,75.1717093",17762,8356,9406
Moradabad ,9,UTTAR PRADESH,889810,466432,423378,550637,302447,248190,908,903,"28.8386481,78.7733286",91999,48955,43044
Morena ,23,MADHYA PRADESH,200506,108405,92101,139903,83531,56372,850,807,"26.4933562,77.9909949",21351,14504,6847
Morvi ,24,GUJARAT,188278,97860,90418,140779,77826,62953,924,862,"22.8119895,70.8236195",15195,8441,6754
Motihari ,10,BIHAR,125183,67438,57745,94926,52904,42022,856,836,"26.6469624,84.9088938",19550,13634,5916
Mughalsarai ,9,UTTAR PRADESH,110110,57925,52185,79611,45305,34306,901,897,"25.2814947,83.1198203",11758,7244,4514
Muktsar ,3,PUNJAB,117085,62005,55080,79979,45007,34972,888,831,"30.4766391,74.511172",11785,5931,5854
Munger ,10,BIHAR,213101,113173,99928,150435,84571,65864,883,910,"25.3747561,86.4735251",19988,13825,6163
Murwara ,23,MADHYA PRADESH,221875,115463,106412,171966,94777,77189,922,892,"23.7473807,80.365865",27011,15456,11555
Mustafabad ,7,NCT OF DELHI,127012,66754,60258,81915,47714,34201,903,903,"28.7113968,77.2681086",4462,2950,1512
Muzaffarnagar ,9,UTTAR PRADESH,392451,206902,185549,278405,154902,123503,897,844,"29.4726817,77.7085091",58965,31729,27236
Muzaffarpur ,10,BIHAR,351838,186145,165693,263638,145548,118090,890,897,"26.1208876,85.3647201",61914,40575,21339
Mysore ,29,KARNATAKA,887446,443813,443633,702896,363157,339739,1000,945,"12.2958104,76.6393805",149306,85019,64287
Nabadwip ,19,WEST BENGAL,125528,65300,60228,102793,55569,47224,922,938,"23.4036446,88.3676393",10083,6492,3591
Nadiad ,24,GUJARAT,218150,112381,105769,174931,94468,80463,941,851,"22.6915853,72.8633635",27432,16224,11208
Nagaon ,18,ASSAM,116355,59021,57334,98068,52690,45378,971,1043,"26.3463713,92.6840426",15273,8798,6475
Nagapattinam ,33,TAMIL NADU,102838,50809,52029,81913,42374,39539,1024,930,"10.7656082,79.8423888",8469,4900,3569
Nagaur ,8,RAJASTHAN,100618,52220,48398,64028,37179,26849,927,876,"27.1991222,73.740924",7812,5384,2428
Nagda ,23,MADHYA PRADESH,100036,51410,48626,72618,40765,31853,946,893,"23.4454599,75.4169918",9844,5707,4137
Nagercoil ,33,TAMIL NADU,224329,110132,114197,195748,97545,98203,1037,983,"8.1832857,77.4118996",34342,17826,16516
Nagpur ,27,MAHARASHTRA,2405421,1226610,1178811,2018598,1060359,958239,961,921,"21.1458004,79.0881546",382282,201349,180933
Naihati ,19,WEST BENGAL,221762,112773,108989,183458,96626,86832,966,926,"22.8928724,88.4220324",23181,13877,9304
Nalgonda ,28,ANDHRA PRADESH,135163,67749,67414,105885,56100,49785,995,959,"17.0575707,79.2620294",26575,16916,9659
Nanded Waghala ,27,MAHARASHTRA,550564,286152,264412,421606,231449,190157,924,872,"19.1428869,77.303723",57736,38146,19590
Nandurbar ,27,MAHARASHTRA,111067,57543,53524,85635,46673,38962,930,838,"21.7468548,74.123996",11451,7441,4010
